Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2016-17,19,LAL,NBA,SF,79,40,28.8,3.5,8.7,.402,0.7,2.4,.294,2.8,6.3,.443,.442,1.7,2.7,.621,0.8,3.2,4.0,2.1,0.6,0.5,1.5,2.0,9.4,
2017-18,20,LAL,NBA,SF,59,59,33.5,6.1,12.9,.470,0.7,1.8,.390,5.4,11.1,.483,.497,3.3,4.8,.681,1.0,4.4,5.3,3.9,0.8,0.7,2.5,2.8,16.1,
2018-19,21,LAL,NBA,SF,52,52,33.8,7.0,14.0,.497,0.6,1.8,.330,6.4,12.2,.521,.518,3.8,5.6,.675,0.8,4.3,5.1,3.0,0.5,0.6,2.5,2.9,18.3,
2019-20,22,NOP,NBA,PF,62,62,33.9,8.2,17.7,.463,2.4,6.2,.391,5.8,11.5,.501,.531,5.0,5.9,.851,0.8,5.3,6.1,4.2,1.0,0.6,3.0,2.9,23.8,MIP-1AS
2020-21,23,NOP,NBA,SF,61,61,34.3,8.4,18.0,.466,2.3,6.1,.381,6.1,11.9,.510,.531,4.6,5.2,.878,0.6,4.3,4.9,4.9,0.7,0.6,2.5,2.0,23.8,
2021-22,24,NOP,NBA,SF,55,55,34.0,8.2,17.9,.461,1.3,4.1,.327,6.9,13.8,.501,.498,4.8,5.9,.826,0.6,5.2,5.8,5.6,0.6,0.5,2.7,2.2,22.7,
2022-23,25,NOP,NBA,SF,45,45,34.2,9.0,18.6,.484,1.4,3.6,.390,7.6,14.9,.507,.522,5.3,6.0,.882,0.5,5.0,5.5,5.8,0.7,0.4,3.3,2.6,24.7,
2023-24,26,NOP,NBA,SF,64,64,32.9,7.8,15.9,.492,1.3,3.8,.355,6.5,12.1,.534,.534,3.8,4.8,.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8,
2024-25,27,NOP,NBA,SF,12,12,33.0,9.0,19.2,.470,2.4,6.8,.354,6.6,12.3,.534,.533,2.1,2.3,.893,1.2,4.8,5.9,5.1,0.8,0.5,3.7,2.7,22.5,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,489,450,33.0,7.1,15.2,.468,1.4,3.8,.362,5.7,11.4,.503,.513,3.9,4.9,.787,0.7,4.5,5.2,4.3,0.7,0.6,2.5,2.4,19.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOP (6 Yrs),NOP (6 Yrs),NOP (6 Yrs),NOP (6 Yrs),,299,299,33.8,8.3,17.6,.472,1.8,4.9,.371,6.5,12.7,.512,.524,4.6,5.4,.848,0.7,4.8,5.5,5.2,0.8,0.6,2.8,2.4,23.0,
LAL (3 Yrs),LAL (3 Yrs),LAL (3 Yrs),LAL (3 Yrs),,190,151,31.7,5.2,11.5,.458,0.7,2.0,.329,4.6,9.4,.485,.487,2.7,4.1,.662,0.8,3.9,4.7,2.9,0.6,0.6,2.1,2.5,13.9,
