Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2017-18,21,UTA,NBA,SG,79,71,33.4,7.5,17.2,.437,2.4,7.0,.340,5.2,10.3,.502,.506,3.0,3.8,.805,0.7,3.1,3.7,3.7,1.5,0.3,2.7,2.7,20.5,ROY-2
2018-19,22,UTA,NBA,SG,77,77,33.7,8.6,19.9,.432,2.4,6.7,.362,6.1,13.1,.468,.493,4.1,5.1,.806,0.8,3.3,4.1,4.2,1.4,0.4,2.8,2.7,23.8,
2019-20,23,UTA,NBA,SG,69,69,34.3,8.7,19.4,.449,2.5,6.9,.366,6.2,12.6,.494,.513,4.0,4.7,.863,0.8,3.6,4.4,4.3,1.0,0.2,2.7,2.5,24.0,AS
2020-21,24,UTA,NBA,PG,53,53,33.4,9.0,20.6,.438,3.4,8.7,.386,5.7,11.9,.476,.520,5.0,6.0,.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,26.4,AS
2021-22,25,UTA,NBA,SG,67,67,33.8,9.2,20.5,.448,3.5,9.8,.355,5.7,10.8,.533,.533,4.0,4.7,.853,0.8,3.4,4.2,5.3,1.5,0.2,3.0,2.4,25.9,AS
2022-23,26,CLE,NBA,SG,68,68,35.8,10.0,20.6,.484,3.6,9.3,.386,6.4,11.3,.566,.572,4.7,5.4,.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,MVP-6CPOY-6ASNBA2
2023-24,27,CLE,NBA,SG,55,55,35.3,9.1,19.8,.462,3.3,9.0,.368,5.8,10.8,.539,.545,5.0,5.8,.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6,AS
2024-25,28,CLE,NBA,SG,13,13,30.9,8.5,18.2,.464,3.5,8.7,.407,4.9,9.5,.516,.561,3.2,3.7,.854,0.6,3.5,4.2,4.1,1.5,0.2,2.2,2.2,23.6,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,481,473,34.1,8.8,19.6,.450,3.0,8.1,.367,5.9,11.5,.509,.526,4.2,4.9,.843,0.8,3.5,4.3,4.6,1.4,0.3,2.8,2.5,24.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (5 Yrs),UTA (5 Yrs),UTA (5 Yrs),UTA (5 Yrs),,345,337,33.7,8.6,19.4,.441,2.8,7.7,.361,5.8,11.7,.493,.512,4.0,4.8,.833,0.8,3.4,4.2,4.5,1.3,0.3,2.8,2.5,23.9,
CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),,136,136,35.1,9.5,20.1,.474,3.5,9.1,.381,6.0,10.9,.551,.560,4.7,5.4,.865,0.9,3.7,4.6,5.1,1.6,0.4,2.7,2.3,27.1,
