Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2018-19,22,DAL,NBA,PG,73,38,21.8,3.6,7.7,.467,0.9,2.5,.348,2.8,5.3,.523,.523,1.2,1.6,.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3,
2019-20,23,DAL,NBA,PG,57,16,17.9,3.2,6.8,.466,0.8,2.1,.358,2.4,4.7,.515,.522,1.1,1.3,.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2,
2020-21,24,DAL,NBA,PG,68,12,25.0,4.8,9.2,.523,1.2,2.9,.405,3.6,6.3,.578,.588,1.8,2.2,.795,0.4,3.0,3.4,3.5,0.5,0.0,1.2,1.6,12.6,6MOY-4
2021-22,25,DAL,NBA,SG,79,61,31.9,6.4,12.8,.502,1.2,3.2,.373,5.2,9.6,.545,.549,2.3,2.7,.840,0.5,3.4,3.9,4.8,0.8,0.0,1.6,1.9,16.3,
2022-23,26,NYK,NBA,PG,68,68,35.0,8.6,17.6,.491,2.0,4.7,.416,6.7,12.8,.519,.547,4.8,5.8,.829,0.6,3.0,3.5,6.2,0.9,0.2,2.1,2.2,24.0,MVP-12CPOY-4
2023-24,27,NYK,NBA,PG,77,77,35.4,10.3,21.4,.479,2.7,6.8,.401,7.5,14.6,.516,.543,5.5,6.5,.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7,MVP-5CPOY-5ASNBA2
2024-25,28,NYK,NBA,PG,12,12,34.5,8.9,18.8,.476,2.2,5.8,.377,6.8,13.0,.519,.533,5.3,6.5,.821,0.4,2.5,2.9,6.6,0.4,0.0,2.3,2.3,25.3,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,434,284,28.5,6.4,13.0,.489,1.5,3.8,.390,4.9,9.2,.530,.546,2.9,3.5,.824,0.5,2.7,3.2,4.7,0.7,0.1,1.6,1.8,17.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL (4 Yrs),DAL (4 Yrs),DAL (4 Yrs),DAL (4 Yrs),,277,127,24.7,4.6,9.3,.494,1.0,2.7,.373,3.6,6.6,.544,.548,1.6,2.0,.800,0.4,2.6,3.0,3.7,0.6,0.0,1.3,1.7,11.9,
NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),,157,157,35.2,9.5,19.5,.484,2.4,5.8,.405,7.1,13.7,.517,.544,5.2,6.2,.838,0.6,3.0,3.5,6.5,0.9,0.2,2.3,2.1,26.4,
