Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2020-12-23,55403,0,48226,W 111-101,,25:09,5,12,0.417,1,5,0.2,4,7,0.571,0.458,4,4,1.0,2,2,4,4,0,0,1,1,15,12.0,4.0
2,2,2,2020-12-26,55403,1,84101,W 116-111,,22:20,8,12,0.667,2,3,0.667,6,9,0.667,0.75,0,0,,0,1,1,1,2,0,0,4,18,14.2,6.0
3,3,3,2020-12-27,55403,1,90015,L 91-127,,28:32,6,21,0.286,1,9,0.111,5,12,0.417,0.31,2,2,1.0,2,2,4,2,1,0,1,2,15,5.3,-14.0
4,4,4,2020-12-29,55403,1,90015,L 101-124,,24:42,4,10,0.4,4,7,0.571,0,3,0.0,0.6,0,0,,0,0,0,0,0,1,0,1,12,6.9,-21.0
5,5,5,2021-01-01,55403,0,20004,L 109-130,,26:21,7,16,0.438,2,8,0.25,5,8,0.625,0.5,1,4,0.25,0,3,3,2,0,1,3,2,17,6.6,-7.0
6,6,6,2021-01-03,55403,0,80204,L 109-124,,22:56,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,0,,0,0,0,4,1,0,3,1,5,3.4,-8.0
7,7,7,2021-01-05,55403,1,80204,L 116-123,,25:34,6,19,0.316,1,7,0.143,5,12,0.417,0.342,2,2,1.0,1,2,3,1,0,0,3,1,15,2.7,-9.0
8,8,8,2021-01-07,55403,1,97227,L 117-135,,31:13,9,21,0.429,3,10,0.3,6,11,0.545,0.5,5,7,0.714,2,2,4,1,2,0,4,2,26,14.0,-15.0
9,9,9,2021-01-09,55403,0,78219,L 122-125 (OT),,30:16,5,11,0.455,1,4,0.25,4,7,0.571,0.5,2,2,1.0,0,4,4,4,0,0,3,3,13,7.1,2.0
10,10,10,2021-01-10,55403,0,78219,W 96-88,,17:41,0,8,0.0,0,2,0.0,0,6,0.0,0.0,0,0,,3,3,6,1,0,0,2,1,0,-4.3,-5.0
11,11,11,2021-01-13,55403,0,38103,L 107-118,,16:51,1,6,0.167,0,2,0.0,1,4,0.25,0.167,0,0,,2,1,3,1,0,0,0,1,2,0.2,-3.0
12,12,12,2021-01-18,55403,1,30313,L 97-108,,30:22,5,16,0.313,2,5,0.4,3,11,0.273,0.375,0,0,,1,4,5,2,0,0,1,2,12,4.3,1.0
13,13,13,2021-01-20,55403,0,32801,L 96-97,,22:49,3,14,0.214,1,4,0.25,2,10,0.2,0.25,1,2,0.5,0,0,0,0,0,0,2,0,8,-3.0,13.0
14,14,14,2021-01-22,55403,0,30313,L 98-116,,24:01,2,12,0.167,1,5,0.2,1,7,0.143,0.208,0,0,,0,3,3,1,1,0,3,2,5,-3.8,-13.0
15,15,15,2021-01-23,55403,0,70112,W 120-110,,20:16,5,14,0.357,2,7,0.286,3,7,0.429,0.429,6,6,1.0,0,1,1,1,2,0,2,0,18,11.2,9.0
16,16,16,2021-01-25,55403,1,94607,L 108-130,,27:13,4,13,0.308,1,3,0.333,3,10,0.3,0.346,6,7,0.857,2,1,3,1,1,0,2,2,15,7.7,-10.0
17,17,17,2021-01-27,55403,1,94607,L 111-123,,32:23,9,19,0.474,5,8,0.625,4,11,0.364,0.605,2,2,1.0,1,3,4,2,3,0,3,1,25,17.9,-2.0
18,18,18,2021-01-29,55403,0,19148,L 94-118,*,28:48,5,13,0.385,3,7,0.429,2,6,0.333,0.5,2,2,1.0,0,4,4,3,0,0,1,2,15,9.4,-25.0
19,19,19,2021-01-31,55403,0,44115,W 109-104,*,30:17,9,15,0.6,4,7,0.571,5,8,0.625,0.733,1,1,1.0,0,5,5,4,1,1,0,2,23,21.3,0.0
20,20,20,2021-02-01,55403,1,44115,L 98-100,*,31:18,5,12,0.417,2,5,0.4,3,7,0.429,0.5,1,1,1.0,0,3,3,2,1,0,0,2,13,9.1,-3.0
21,21,21,2021-02-03,55403,1,78219,L 108-111,*,31:34,6,14,0.429,1,3,0.333,5,11,0.455,0.464,1,2,0.5,0,6,6,2,0,1,0,1,14,9.7,-5.0
22,22,22,2021-02-05,55403,1,73102,W 106-103,*,32:15,3,14,0.214,1,7,0.143,2,7,0.286,0.25,2,2,1.0,0,2,2,5,0,1,2,1,9,2.8,-6.0
23,23,23,2021-02-06,55403,1,73102,L 118-120,*,31:15,8,16,0.5,2,5,0.4,6,11,0.545,0.563,2,4,0.5,0,8,8,4,1,1,0,1,20,17.7,2.0
24,24,24,2021-02-08,55403,1,75219,L 122-127,*,30:56,8,19,0.421,3,8,0.375,5,11,0.455,0.5,3,4,0.75,0,2,2,4,2,2,1,2,22,16.5,-13.0
25,25,25,2021-02-10,55403,0,90015,L 112-119,*,29:44,4,9,0.444,1,5,0.2,3,4,0.75,0.5,2,2,1.0,2,2,4,2,1,0,3,1,11,7.3,1.0
26,26,26,2021-02-12,55403,1,28202,L 114-120,*,33:58,9,21,0.429,2,6,0.333,7,15,0.467,0.476,1,1,1.0,0,6,6,3,0,0,0,2,21,13.0,-4.0
27,27,27,2021-02-14,55403,1,51300,W 116-112,*,34:57,7,15,0.467,1,7,0.143,6,8,0.75,0.5,3,4,0.75,0,7,7,3,1,0,2,1,18,12.7,14.0
28,28,28,2021-02-16,55403,0,90015,L 104-112,*,34:20,10,21,0.476,5,10,0.5,5,11,0.455,0.595,3,4,0.75,0,7,7,5,1,2,3,2,28,21.1,0.0
29,29,29,2021-02-17,55403,0,46225,L 128-134 (OT),*,38:46,3,15,0.2,0,4,0.0,3,11,0.273,0.2,2,2,1.0,0,5,5,4,0,0,1,0,8,2.0,-23.0
30,30,30,2021-02-19,55403,0,51300,L 81-86,*,34:05,3,14,0.214,0,7,0.0,3,7,0.429,0.214,1,2,0.5,0,3,3,4,2,1,1,0,7,3.4,-13.0
31,31,31,2021-02-21,55403,1,10001,L 99-103,*,31:38,3,11,0.273,3,6,0.5,0,5,0.0,0.409,3,4,0.75,0,3,3,4,0,0,3,2,12,5.0,-8.0
32,32,32,2021-02-23,55403,1,53203,L 112-139,*,27:43,3,13,0.231,3,8,0.375,0,5,0.0,0.346,0,0,,0,6,6,3,0,2,4,1,9,2.0,-10.0
33,33,33,2021-02-24,55403,1,60612,L 126-133 (OT),*,36:57,7,20,0.35,3,9,0.333,4,11,0.364,0.425,4,4,1.0,3,6,9,6,2,0,3,2,21,16.1,5.0
34,34,34,2021-02-27,55403,1,20004,L 112-128,*,32:10,9,22,0.409,3,11,0.273,6,11,0.545,0.477,0,2,0.0,2,4,6,0,1,2,1,2,21,11.6,2.0
