Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2,2021-10-22,90015,0,85004,L 105-115,,12:00,3,4,0.75,2,3,0.667,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,0,1,8,6.0,17.0
2,2,3,2021-10-24,90015,0,38103,W 121-118,,17:50,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,0,0,0,3,0,0,0,1,4,4.4,18.0
3,3,4,2021-10-26,90015,1,78219,W 125-121 (OT),,30:13,3,5,0.6,2,4,0.5,1,1,1.0,0.8,2,2,1.0,0,2,2,1,0,0,2,3,10,5.8,-13.0
4,4,5,2021-10-27,90015,1,73102,L 115-123,,17:46,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,0,2,2,0,0,0,0,0,2,0.2,-5.0
5,5,6,2021-10-29,90015,0,44115,W 113-101,,20:54,2,4,0.5,1,2,0.5,1,2,0.5,0.625,2,2,1.0,0,3,3,2,0,1,1,3,7,5.8,1.0
6,6,7,2021-10-31,90015,0,77002,W 95-85,,20:11,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,2,2,0,0,0,3,2,2,-2.2,5.0
7,7,8,2021-11-02,90015,0,77002,W 119-117,,20:48,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,,0,2,2,0,1,1,1,3,2,0.4,2.0
8,8,9,2021-11-04,90015,0,73102,L 104-107,,22:08,3,6,0.5,2,5,0.4,1,1,1.0,0.667,0,0,,1,1,2,0,1,0,0,2,8,6.2,0.0
9,9,10,2021-11-06,90015,1,97227,L 90-105,,24:33,3,9,0.333,2,5,0.4,1,4,0.25,0.444,2,2,1.0,1,5,6,3,0,0,1,1,10,7.8,17.0
10,10,11,2021-11-08,90015,0,28202,W 126-123 (OT),,27:00,3,6,0.5,0,3,0.0,3,3,1.0,0.5,2,2,1.0,0,1,1,1,1,0,0,5,8,5.0,3.0
11,11,22,2021-11-28,90015,0,48226,W 110-106,,05:59,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,2,1,0,-1.7,2.0
12,12,23,2021-11-30,90015,1,95814,W 117-92,,18:13,1,2,0.5,0,0,,1,2,0.5,0.5,1,2,0.5,2,3,5,1,0,0,0,0,3,4.6,8.0
13,13,24,2021-12-03,90015,0,90015,L 115-119,,08:59,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,1,0.0,0,1,1,1,0,0,0,2,2,0.1,-5.0
14,14,25,2021-12-07,90015,0,02114,W 117-102,,03:10,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3.0
15,15,27,2021-12-10,90015,1,73102,W 116-95,,27:57,4,7,0.571,1,3,0.333,3,4,0.75,0.643,4,4,1.0,1,4,5,2,0,0,1,0,13,12.0,17.0
16,16,28,2021-12-12,90015,0,32801,W 106-94,,25:14,1,4,0.25,1,2,0.5,0,2,0.0,0.375,2,2,1.0,0,4,4,1,0,0,0,1,5,4.1,-2.0
17,17,29,2021-12-15,90015,1,75219,W 107-104 (OT),,32:13,5,6,0.833,5,6,0.833,0,0,,1.25,0,0,,0,7,7,2,1,0,1,4,15,14.7,10.0
18,18,37,2021-12-31,90015,0,97227,W 139-106,,26:38,3,7,0.429,1,4,0.25,2,3,0.667,0.5,3,3,1.0,1,0,1,1,1,0,0,2,10,7.9,13.0
19,19,38,2022-01-02,90015,0,55403,W 108-103,,22:03,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,4,4,2,0,0,0,0,2,4.3,0.0
20,20,39,2022-01-04,90015,0,95814,W 122-114,,21:39,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,2,2,1,0,0,0,1,0,0.2,10.0
21,21,40,2022-01-07,90015,0,30313,W 134-118,,18:20,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,,1,0,1,2,2,0,0,2,2,3.6,10.0
22,22,41,2022-01-09,90015,0,38103,L 119-127,,22:44,6,8,0.75,1,2,0.5,5,6,0.833,0.813,3,4,0.75,0,0,0,0,0,1,0,3,16,11.9,7.0
