Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2016-10-26,80204,1,70112,W 107-102,,13:15,0,2,0.0,0,1,0.0,0,1,0.0,0.0,1,2,0.5,0,4,4,1,0,0,1,0,1,0.1,8
2,2,2,2016-10-29,80204,0,97227,L 113-115 (OT),,11:48,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,1,1,2,1,0,0,1,0,0.9,-5
3,3,3,2016-10-31,80204,1,51300,L 102-105,,11:47,0,4,0.0,0,1,0.0,0,3,0.0,0.0,1,1,1.0,0,2,2,2,0,0,1,3,1,-2.0,3
4,4,4,2016-11-03,80204,1,55403,W 102-99,*,29:27,0,8,0.0,0,4,0.0,0,4,0.0,0.0,0,0,,0,3,3,4,0,0,1,2,0,-3.7,5
5,5,5,2016-11-05,80204,1,48226,L 86-103,*,27:29,4,10,0.4,1,4,0.25,3,6,0.5,0.45,0,0,,0,1,1,2,1,0,4,0,9,2.3,-11
6,6,6,2016-11-06,80204,1,02114,W 123-107,,13:14,3,7,0.429,2,4,0.5,1,3,0.333,0.571,1,1,1.0,0,1,1,0,0,0,0,0,9,5.6,-2
7,7,7,2016-11-08,80204,1,38103,L 107-108,,17:17,4,7,0.571,2,4,0.5,2,3,0.667,0.714,0,0,,0,0,0,1,0,0,0,2,10,6.6,-3
8,8,8,2016-11-10,80204,0,94607,L 101-125,,29:04,5,15,0.333,2,7,0.286,3,8,0.375,0.4,2,2,1.0,2,1,3,6,0,1,3,3,14,7.9,-3
9,9,9,2016-11-12,80204,0,48226,L 95-106,,19:55,3,6,0.5,1,3,0.333,2,3,0.667,0.583,0,0,,0,1,1,0,1,0,0,1,7,4.9,-12
10,10,10,2016-11-13,80204,1,97227,L 105-112,*,27:45,6,12,0.5,5,9,0.556,1,3,0.333,0.708,2,3,0.667,0,5,5,1,0,0,6,2,19,8.0,17
11,11,11,2016-11-16,80204,0,85004,W 120-104,,20:08,3,8,0.375,3,4,0.75,0,4,0.0,0.563,0,0,,0,1,1,1,0,0,0,1,9,5.2,4
12,12,12,2016-11-18,80204,0,51300,L 111-113 (OT),,18:37,2,8,0.25,0,3,0.0,2,5,0.4,0.25,1,2,0.5,1,2,3,4,1,0,1,2,5,3.1,-2
13,13,13,2016-11-20,80204,0,84101,W 105-91,,22:30,6,9,0.667,3,4,0.75,3,5,0.6,0.833,3,4,0.75,1,0,1,4,0,1,0,2,18,17.1,14
14,14,14,2016-11-22,80204,0,60612,W 110-107,,21:43,9,13,0.692,3,4,0.75,6,9,0.667,0.808,3,3,1.0,2,4,6,2,0,0,0,2,24,21.7,9
15,15,15,2016-11-23,80204,1,84101,L 83-108,,35:10,8,19,0.421,5,8,0.625,3,11,0.273,0.553,2,2,1.0,2,2,4,3,0,1,4,2,23,12.9,-6
16,16,16,2016-11-25,80204,0,73102,L 129-132 (OT),,34:26,5,16,0.313,2,7,0.286,3,9,0.333,0.375,8,10,0.8,1,6,7,0,1,1,2,3,20,11.0,-1
17,17,17,2016-11-27,80204,1,85004,W 120-114,,21:38,3,8,0.375,1,4,0.25,2,4,0.5,0.438,2,2,1.0,1,3,4,2,0,0,1,4,9,5.0,4
18,18,18,2016-11-30,80204,0,33132,L 98-106,,23:18,3,10,0.3,2,6,0.333,1,4,0.25,0.4,1,1,1.0,0,3,3,2,0,2,2,4,9,3.3,3
19,19,19,2016-12-02,80204,0,77002,L 110-128,,17:08,1,7,0.143,0,5,0.0,1,2,0.5,0.143,0,0,,1,2,3,1,0,0,2,2,2,-3.3,2
20,20,20,2016-12-03,80204,1,84101,L 98-105,,17:58,0,4,0.0,0,1,0.0,0,3,0.0,0.0,0,0,,0,4,4,2,0,0,3,0,0,-3.2,-12
21,21,21,2016-12-05,80204,1,19148,W 106-98,,23:32,8,12,0.667,3,7,0.429,5,5,1.0,0.792,3,3,1.0,0,3,3,2,0,0,1,0,22,18.1,12
22,22,22,2016-12-07,80204,1,11217,L 111-116,,33:33,4,14,0.286,2,8,0.25,2,6,0.333,0.357,2,2,1.0,1,4,5,3,1,0,0,3,12,7.6,21
23,23,23,2016-12-08,80204,1,20004,L 85-92,,17:10,2,5,0.4,2,4,0.5,0,1,0.0,0.6,0,0,,1,1,2,2,1,0,5,2,6,0.9,-6
