Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2017-10-17,2114,1,44115,L 99-102,*,36:32,5,12,0.417,1,2,0.5,4,10,0.4,0.458,3,3,1.0,4,6,10,3,0,0,1,4,14,11.7,8
2,2,2,2017-10-18,2114,0,53203,L 100-108,*,36:32,3,7,0.429,0,1,0.0,3,6,0.5,0.429,2,5,0.4,2,7,9,2,1,0,2,3,8,5.8,-15
3,3,3,2017-10-20,2114,1,19148,W 102-92,*,32:45,3,8,0.375,0,2,0.0,3,6,0.5,0.375,9,9,1.0,2,6,8,0,0,3,3,3,15,11.7,-4
4,4,4,2017-10-24,2114,0,10001,W 110-89,*,31:08,9,15,0.6,4,6,0.667,5,9,0.556,0.733,0,0,,1,3,4,2,4,2,3,4,22,18.9,10
5,5,5,2017-10-26,2114,1,53203,W 96-89,*,27:49,3,6,0.5,1,3,0.333,2,3,0.667,0.583,5,5,1.0,0,2,2,3,1,0,2,1,12,10.3,8
6,6,6,2017-10-28,2114,1,33132,W 96-90,*,31:28,6,9,0.667,2,2,1.0,4,7,0.571,0.778,6,7,0.857,2,3,5,0,0,0,0,1,20,17.6,2
7,7,7,2017-10-30,2114,0,78219,W 108-94,*,35:18,2,7,0.286,2,4,0.5,0,3,0.0,0.429,1,2,0.5,0,11,11,2,0,3,2,3,7,6.1,12
8,8,8,2017-11-01,2114,0,95814,W 113-86,*,26:25,4,7,0.571,1,2,0.5,3,5,0.6,0.643,3,4,0.75,1,3,4,2,0,0,2,1,12,8.9,23
9,9,9,2017-11-03,2114,1,73102,W 101-94,*,29:48,4,10,0.4,2,3,0.667,2,7,0.286,0.5,3,4,0.75,2,4,6,3,0,0,4,1,13,7.5,4
10,10,10,2017-11-05,2114,1,32801,W 104-88,*,27:19,5,8,0.625,2,4,0.5,3,4,0.75,0.75,1,2,0.5,0,4,4,3,1,0,0,4,13,11.7,6
11,11,11,2017-11-06,2114,1,30313,W 110-107,*,32:27,7,13,0.538,3,5,0.6,4,8,0.5,0.654,4,4,1.0,0,8,8,1,1,2,0,1,21,19.8,15
12,12,12,2017-11-08,2114,0,90015,W 107-96,*,09:21,1,2,0.5,0,0,,1,2,0.5,0.5,3,3,1.0,0,1,1,1,1,1,1,1,5,5.3,-1
13,13,13,2017-11-10,2114,0,28202,W 90-87,*,30:44,6,12,0.5,1,4,0.25,5,8,0.625,0.542,3,4,0.75,0,2,2,1,0,0,2,4,16,7.3,5
14,14,14,2017-11-12,2114,0,51300,W 95-94,*,32:59,6,15,0.4,1,4,0.25,5,11,0.455,0.433,0,0,,1,6,7,0,0,0,2,3,13,4.2,2
15,15,15,2017-11-14,2114,1,11217,W 109-102,*,30:17,6,9,0.667,2,3,0.667,4,6,0.667,0.778,5,6,0.833,1,3,4,0,3,1,1,1,19,18.6,5
16,16,16,2017-11-16,2114,0,94607,W 92-88,*,27:04,2,5,0.4,0,0,,2,5,0.4,0.4,8,9,0.889,1,3,4,0,1,0,1,3,12,9.3,-18
17,17,17,2017-11-18,2114,1,30313,W 110-99,*,28:47,5,11,0.455,1,3,0.333,4,8,0.5,0.5,3,3,1.0,0,7,7,0,4,2,1,3,14,13.6,-4
18,18,18,2017-11-20,2114,1,75219,W 110-102 (OT),*,37:49,6,11,0.545,0,2,0.0,6,9,0.667,0.545,3,4,0.75,0,9,9,1,1,1,1,3,15,12.2,15
19,19,19,2017-11-22,2114,1,33132,L 98-104,*,34:05,5,11,0.455,3,4,0.75,2,7,0.286,0.591,5,5,1.0,1,6,7,4,1,1,1,1,18,17.9,4
20,20,20,2017-11-24,2114,0,32801,W 118-103,*,21:54,4,7,0.571,3,4,0.75,1,3,0.333,0.786,0,0,,1,1,2,0,1,2,0,1,11,10.7,13
21,21,21,2017-11-25,2114,1,46225,W 108-98,*,37:38,4,10,0.4,1,5,0.2,3,5,0.6,0.45,2,3,0.667,0,2,2,0,0,0,1,3,11,3.6,12
22,22,22,2017-11-27,2114,0,48226,L 108-118,*,34:44,3,7,0.429,2,4,0.5,1,3,0.333,0.571,2,2,1.0,1,2,3,4,0,1,1,5,10,8.1,-13
23,23,23,2017-11-30,2114,0,19148,W 108-97,*,27:52,6,11,0.545,2,3,0.667,4,8,0.5,0.636,1,3,0.333,0,2,2,2,2,0,0,1,15,12.5,7
24,24,24,2017-12-02,2114,0,85004,W 116-111,*,26:30,6,8,0.75,1,1,1.0,5,7,0.714,0.813,2,2,1.0,1,5,6,2,2,2,1,2,15,17.0,8
25,25,25,2017-12-04,2114,0,53203,W 111-100,*,32:35,5,6,0.833,4,5,0.8,1,1,1.0,1.167,3,4,0.75,0,6,6,0,0,0,1,1,17,14.8,8
