Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2017-18,22,LAL,NBA,SG,63,23,23.2,2.8,6.0,.469,1.2,3.1,.396,1.6,2.8,.551,.573,1.0,1.5,.702,0.7,3.5,4.2,1.3,0.7,0.3,0.7,1.7,7.9,
2018-19,23,LAL,NBA,SG,67,22,25.6,2.8,6.9,.407,1.4,4.1,.336,1.4,2.8,.511,.506,0.8,1.2,.688,0.5,3.2,3.7,1.4,1.0,0.6,0.9,2.2,7.8,
2019-20,24,NOP,NBA,SF,65,16,27.0,3.5,8.2,.423,1.9,5.4,.342,1.6,2.7,.584,.537,1.3,1.8,.739,0.9,5.6,6.5,1.7,1.0,0.4,1.2,2.5,10.1,
2020-21,25,NOP,NBA,SF,47,4,28.7,3.2,7.3,.439,1.3,4.1,.326,1.9,3.2,.583,.531,1.5,1.9,.775,1.1,6.9,8.0,2.3,0.8,0.3,1.0,2.4,9.2,
2021-22,26,2TM,NBA,SG,54,53,33.2,5.3,10.5,.504,1.4,3.9,.343,4.0,6.6,.601,.569,3.0,3.9,.758,1.1,6.0,7.2,4.1,1.1,0.2,2.1,2.8,14.9,
2021-22,26,NOP,NBA,SG,41,40,33.5,4.8,9.4,.505,1.0,3.2,.323,3.7,6.2,.598,.560,2.8,3.8,.753,1.3,6.5,7.8,4.1,1.1,0.3,2.0,2.9,13.4,
2021-22,26,POR,NBA,SG,13,13,32.1,7.1,14.1,.503,2.4,6.4,.373,4.7,7.7,.610,.587,3.4,4.4,.772,0.7,4.7,5.4,4.3,1.2,0.2,2.5,2.5,19.9,
2022-23,27,2TM,NBA,SF,76,52,32.3,3.6,6.8,.529,0.8,2.2,.372,2.8,4.7,.601,.588,1.7,2.3,.750,1.9,5.9,7.8,3.8,1.2,0.3,1.5,2.6,9.8,
2022-23,27,POR,NBA,SF,51,51,33.4,3.6,7.1,.504,0.7,2.2,.304,2.9,4.9,.594,.551,1.7,2.3,.731,1.9,6.3,8.2,3.9,1.1,0.2,1.5,2.6,9.5,
2022-23,27,NYK,NBA,SF,25,1,30.0,3.7,6.3,.586,1.1,2.1,.519,2.6,4.2,.619,.672,1.8,2.3,.789,1.9,5.2,7.0,3.6,1.4,0.5,1.5,2.5,10.2,
2023-24,28,NYK,NBA,SF,81,42,33.4,3.6,8.4,.434,1.0,3.2,.310,2.7,5.2,.511,.493,1.1,1.4,.791,1.6,6.8,8.3,4.1,0.9,0.3,1.5,2.1,9.4,
2024-25,29,NYK,NBA,SG,77,77,37.6,5.2,10.0,.525,1.1,3.3,.333,4.2,6.7,.618,.579,2.1,2.7,.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,530,289,30.4,3.8,8.0,.471,1.2,3.6,.342,2.5,4.4,.575,.547,1.5,2.0,.753,1.3,5.7,7.0,3.2,1.0,0.3,1.4,2.3,10.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),,183,120,34.7,4.3,8.8,.493,1.0,3.1,.340,3.3,5.7,.575,.552,1.6,2.1,.782,1.8,6.8,8.7,4.8,1.2,0.3,1.7,2.4,11.3,
NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),,118,55,33.0,3.8,8.0,.475,1.0,3.0,.341,2.8,5.0,.554,.538,1.4,1.7,.804,1.7,6.5,8.1,4.2,1.0,0.3,1.5,2.2,10.0,
LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),,130,45,24.4,2.8,6.5,.435,1.3,3.6,.361,1.5,2.8,.530,.536,0.9,1.3,.695,0.6,3.3,3.9,1.3,0.9,0.4,0.8,2.0,7.9,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,64,64,33.1,4.3,8.5,.504,1.0,3.0,.333,3.3,5.5,.598,.563,2.0,2.8,.744,1.6,6.0,7.6,4.0,1.1,0.2,1.8,2.6,11.7,
