Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2,2017-10-20,90015,1,85004,W 132-130,,02:20,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
2,2,3,2017-10-22,90015,0,70112,L 112-119,,14:38,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,2,2,4,1,0,0,0,1,5,6.0,21
3,3,4,2017-10-25,90015,0,20004,W 102-99 (OT),,15:32,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,,0,5,5,0,1,0,0,1,2,2.4,-12
4,4,5,2017-10-27,90015,0,51300,L 92-101,,20:06,4,4,1.0,0,0,,4,4,1.0,1.0,1,2,0.5,0,4,4,0,2,1,0,3,9,10.1,8
5,5,6,2017-10-28,90015,1,84101,L 81-96,,16:21,2,4,0.5,0,1,0.0,2,3,0.667,0.5,2,2,1.0,0,2,2,0,1,0,0,0,6,5.6,7
6,6,7,2017-10-31,90015,0,48226,W 113-93,,17:00,1,3,0.333,1,1,1.0,0,2,0.0,0.5,0,0,,0,2,2,1,0,0,1,1,3,1.2,8
7,7,8,2017-11-02,90015,1,97227,L 110-113,,13:36,0,4,0.0,0,2,0.0,0,2,0.0,0.0,2,2,1.0,0,1,1,0,2,1,0,0,2,2.2,-7
8,8,9,2017-11-03,90015,0,11217,W 124-112,,11:47,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,1,1,0,1,1,2,2,0,-1.5,-2
9,9,10,2017-11-05,90015,0,38103,W 107-102,,12:06,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,0,2,0,-2.2,-6
10,10,11,2017-11-08,90015,1,02114,L 96-107,,11:53,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,2,1,0,-3.1,-8
11,11,12,2017-11-09,90015,1,20004,L 95-111,,14:27,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,0,2,2,1,0,0,0,2,0,-2.3,-6
12,12,17,2017-11-19,90015,0,80204,W 127-109,,12:10,1,2,0.5,0,1,0.0,1,1,1.0,0.5,1,2,0.5,1,1,2,0,1,0,0,0,3,3.6,4
13,13,18,2017-11-21,90015,0,60612,W 103-94,,14:38,2,6,0.333,0,2,0.0,2,4,0.5,0.333,1,2,0.5,2,1,3,1,1,0,1,0,5,3.6,-2
14,14,19,2017-11-22,90015,1,95814,L 102-113,,10:10,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,3,3,1,1,0,0,0,3,5.3,-1
15,15,20,2017-11-27,90015,1,90015,L 115-120,,21:54,2,3,0.667,1,1,1.0,1,2,0.5,0.833,0,0,,1,2,3,1,0,0,0,2,5,4.9,17
