Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2003-10-29,44115,1,95814,L 92-106,*,42:50,12,20,0.6,0,2,0.0,12,18,0.667,0.6,1,3,0.333,2,4,6,9,4,0,2,3,25,24.7,-9.0
2,2,2,2003-10-30,44115,1,85004,L 86-95,*,40:21,8,17,0.471,1,5,0.2,7,12,0.583,0.5,4,7,0.571,2,10,12,8,1,0,7,1,21,14.7,-3.0
3,3,3,2003-11-01,44115,1,97227,L 85-104,*,39:10,3,12,0.25,0,1,0.0,3,11,0.273,0.25,2,2,1.0,0,4,4,6,2,0,2,3,8,5.0,-21.0
4,4,4,2003-11-05,44115,0,80204,L 89-93,*,41:06,3,11,0.273,0,2,0.0,3,9,0.333,0.273,1,1,1.0,2,9,11,7,2,3,2,1,7,11.2,-3.0
5,5,5,2003-11-07,44115,1,46225,L 90-91,*,43:44,8,18,0.444,1,2,0.5,7,16,0.438,0.472,6,7,0.857,0,5,5,3,0,0,7,2,23,9.0,-7.0
6,6,6,2003-11-08,44115,0,20004,W 111-98,*,44:30,8,19,0.421,0,0,,8,19,0.421,0.421,1,4,0.25,5,3,8,9,1,1,2,1,17,15.7,14.0
7,7,7,2003-11-10,44115,0,10001,W 94-80,*,33:39,7,12,0.583,3,3,1.0,4,9,0.444,0.708,0,0,,1,4,5,4,1,1,2,0,17,15.8,20.0
8,8,8,2003-11-12,44115,1,33132,L 83-88,*,42:40,6,15,0.4,2,5,0.4,4,10,0.4,0.467,4,6,0.667,1,2,3,7,2,1,4,3,18,12.8,-4.0
9,9,9,2003-11-14,44115,1,02114,L 82-91,*,35:36,3,12,0.25,2,4,0.5,1,8,0.125,0.333,2,4,0.5,1,4,5,3,0,0,4,3,10,0.8,-1.0
10,10,10,2003-11-15,44115,0,19148,W 91-88 (OT),*,46:57,10,19,0.526,0,1,0.0,10,18,0.556,0.526,2,4,0.5,0,5,5,8,1,2,5,2,22,15.6,8.0
11,11,11,2003-11-18,44115,0,90015,W 103-95,*,39:25,6,16,0.375,0,2,0.0,6,14,0.429,0.375,2,4,0.5,2,5,7,8,0,1,3,2,14,9.8,1.0
12,12,12,2003-11-19,44115,1,20004,L 95-106,*,39:09,10,18,0.556,2,4,0.5,8,14,0.571,0.611,6,8,0.75,2,5,7,8,2,1,4,2,28,25.0,-5.0
13,13,13,2003-11-21,44115,0,55403,L 83-97,*,35:18,8,19,0.421,0,2,0.0,8,17,0.471,0.421,3,3,1.0,2,7,9,2,1,0,1,4,19,12.2,-5.0
14,14,14,2003-11-22,44115,1,30313,L 83-92,*,42:18,3,16,0.188,0,1,0.0,3,15,0.2,0.188,9,10,0.9,2,4,6,4,2,1,3,1,15,9.3,-6.0
15,15,15,2003-11-26,44115,1,,L 72-82,*,38:48,5,17,0.294,1,4,0.25,4,13,0.308,0.324,4,4,1.0,2,6,8,9,0,0,4,1,15,10.2,-13.0
16,16,16,2003-11-28,44115,1,48226,L 88-92,*,36:27,2,8,0.25,0,2,0.0,2,6,0.333,0.25,2,3,0.667,0,2,2,7,0,0,4,3,6,1.1,-10.0
17,17,17,2003-11-29,44115,0,38103,L 115-122 (2OT),*,54:41,14,28,0.5,3,6,0.5,11,22,0.5,0.554,2,3,0.667,2,14,16,7,1,1,8,1,33,22.4,-10.0
