Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2015-10-28,80204,1,77002,W 105-85,,03:55,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,1,0,2,0.7,1
2,2,2,2015-10-30,80204,0,55403,L 78-95,,18:09,5,8,0.625,0,0,,5,8,0.625,0.625,0,0,,3,6,9,1,0,0,2,3,10,7.8,10
3,3,3,2015-11-01,80204,1,73102,L 93-117,,24:26,4,9,0.444,0,0,,4,9,0.444,0.444,0,0,,3,1,4,0,0,0,1,2,8,3.9,-2
4,4,5,2015-11-05,80204,0,84101,L 84-96,,17:44,1,4,0.25,0,0,,1,4,0.25,0.25,3,4,0.75,1,2,3,0,0,1,1,1,5,2.8,-6
5,5,6,2015-11-06,80204,1,94607,L 104-119,,17:00,2,4,0.5,0,0,,2,4,0.5,0.5,0,2,0.0,2,2,4,1,1,1,1,1,4,4.2,-5
6,6,7,2015-11-09,80204,0,97227,W 108-104,,15:37,3,3,1.0,0,0,,3,3,1.0,1.0,4,4,1.0,0,2,2,1,2,0,1,2,10,10.6,-1
7,7,8,2015-11-11,80204,0,53203,W 103-102,,14:26,4,7,0.571,0,0,,4,7,0.571,0.571,0,1,0.0,3,2,5,4,2,0,2,0,8,9.8,9
8,8,9,2015-11-13,80204,0,77002,W 107-98,,05:48,1,3,0.333,0,1,0.0,1,2,0.5,0.333,1,2,0.5,2,3,5,0,0,0,1,2,3,1.4,5
9,9,10,2015-11-14,80204,1,85004,L 81-105,,18:17,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,2,4,6,0,3,0,0,3,4,7.1,2
10,10,11,2015-11-17,80204,1,70112,W 115-98,,00:40,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,0,0,0,0,0,0.7,0
11,11,12,2015-11-18,80204,1,78219,L 98-109,,31:54,8,13,0.615,1,1,1.0,7,12,0.583,0.654,6,6,1.0,6,6,12,0,2,3,0,2,23,26.4,-2
12,12,13,2015-11-20,80204,0,85004,L 107-114,*,17:51,2,6,0.333,0,1,0.0,2,5,0.4,0.333,2,2,1.0,2,2,4,1,1,0,0,3,6,5.1,-9
13,13,14,2015-11-22,80204,0,94607,L 105-118,*,27:21,3,7,0.429,0,0,,3,7,0.429,0.429,5,7,0.714,4,7,11,2,2,1,1,0,11,14.5,-12
14,14,15,2015-11-24,80204,0,90015,L 94-111,*,24:27,7,13,0.538,0,1,0.0,7,12,0.583,0.538,2,3,0.667,1,5,6,2,0,0,1,5,16,9.9,-4
15,15,16,2015-11-27,80204,0,78219,L 80-91,*,12:24,3,4,0.75,0,0,,3,4,0.75,0.75,0,0,,1,1,2,0,0,0,3,4,6,0.8,5
16,16,17,2015-11-28,80204,1,75219,L 81-92,*,18:34,2,3,0.667,1,1,1.0,1,2,0.5,0.833,3,4,0.75,2,4,6,0,1,0,3,3,8,5.7,-7
17,17,18,2015-11-30,80204,1,53203,L 74-92,*,25:22,4,7,0.571,0,1,0.0,4,6,0.667,0.571,0,2,0.0,1,5,6,2,0,2,1,1,8,7.5,-14
18,18,19,2015-12-02,80204,1,60612,L 90-99,*,10:08,3,6,0.5,1,1,1.0,2,5,0.4,0.583,0,0,,0,3,3,0,0,1,0,1,7,5.2,-1
19,19,20,2015-12-03,80204,1,51300,W 106-105,,13:54,4,7,0.571,0,0,,4,7,0.571,0.571,0,0,,1,5,6,0,0,0,0,0,8,6.9,3
20,20,22,2015-12-08,80204,0,32801,L 74-85,,17:04,2,6,0.333,0,0,,2,6,0.333,0.333,0,0,,1,3,4,1,0,0,0,1,4,2.5,2
21,21,23,2015-12-11,80204,0,55403,W 111-108 (OT),,24:31,5,10,0.5,1,2,0.5,4,8,0.5,0.55,8,8,1.0,3,3,6,4,1,0,2,5,19,16.8,9
22,22,24,2015-12-14,80204,0,77002,W 114-108,,22:05,3,3,1.0,0,0,,3,3,1.0,1.0,3,3,1.0,0,7,7,1,1,0,1,1,9,10.5,24
23,23,25,2015-12-15,80204,1,55403,W 112-100,,20:33,3,4,0.75,0,0,,3,4,0.75,0.75,0,0,,2,1,3,2,2,2,2,3,6,7.7,12
24,24,26,2015-12-18,80204,1,84101,L 88-97,,21:01,1,5,0.2,0,2,0.0,1,3,0.333,0.2,5,6,0.833,3,7,10,0,1,0,2,3,7,5.5,-5
25,25,27,2015-12-20,80204,0,70112,L 125-130,,22:53,6,8,0.75,0,1,0.0,6,7,0.857,0.75,1,2,0.5,1,2,3,2,0,1,0,2,13,12.0,11
26,26,28,2015-12-22,80204,0,90015,L 107-111,,29:59,5,7,0.714,0,0,,5,7,0.714,0.714,5,6,0.833,6,4,10,5,0,0,3,1,15,17.2,3
27,27,29,2015-12-23,80204,1,85004,W 104-96,,21:32,5,7,0.714,1,2,0.5,4,5,0.8,0.786,2,2,1.0,5,4,9,2,1,0,2,3,13,14.0,18
28,28,30,2015-12-26,80204,1,78219,L 86-101,,26:09,10,19,0.526,1,2,0.5,9,17,0.529,0.553,1,2,0.5,5,2,7,5,1,1,3,4,22,17.0,7
29,29,31,2015-12-27,80204,1,73102,L 112-122,,17:21,3,7,0.429,1,1,1.0,2,6,0.333,0.5,0,0,,1,2,3,2,1,0,2,4,7,3.4,4
30,30,32,2015-12-29,80204,0,44115,L 87-93,,22:25,4,11,0.364,0,0,,4,11,0.364,0.364,2,3,0.667,2,5,7,1,1,1,2,6,10,4.4,4
