Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2018-10-17,90015,0,80204,L 98-107,,28:12,5,6,0.833,0,0,,5,6,0.833,0.833,1,1,1.0,0,2,2,4,1,1,3,1,11,10.5,0.0
2,2,2,2018-10-19,90015,0,73102,W 108-92,,23:16,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,2,1.0,0,3,3,4,0,0,2,2,2,1.5,12.0
3,3,3,2018-10-21,90015,0,77002,W 115-112,,25:35,4,8,0.5,0,1,0.0,4,7,0.571,0.5,4,4,1.0,1,4,5,4,1,0,2,0,12,11.7,21.0
4,4,4,2018-10-23,90015,1,70112,L 109-116,,22:11,3,8,0.375,1,1,1.0,2,7,0.286,0.438,2,2,1.0,2,2,4,2,1,1,3,4,9,5.1,-11.0
5,5,5,2018-10-26,90015,1,77002,W 133-113,,31:09,3,7,0.429,1,1,1.0,2,6,0.333,0.5,3,4,0.75,0,1,1,1,2,0,0,1,10,8.5,13.0
6,6,6,2018-10-28,90015,0,20004,W 136-104,,28:22,4,8,0.5,1,1,1.0,3,7,0.429,0.563,1,2,0.5,2,6,8,7,2,0,1,4,10,13.1,24.0
7,7,7,2018-10-30,90015,1,73102,L 110-128,,22:40,2,4,0.5,0,1,0.0,2,3,0.667,0.5,1,1,1.0,0,0,0,3,0,1,2,0,5,3.8,-10.0
8,8,8,2018-11-01,90015,1,19148,L 113-122,,17:31,3,8,0.375,0,0,,3,8,0.375,0.375,1,1,1.0,0,2,2,2,0,1,1,2,7,3.5,-18.0
9,9,9,2018-11-02,90015,1,32801,W 120-95,,24:47,2,6,0.333,0,2,0.0,2,4,0.5,0.333,4,4,1.0,0,1,1,1,1,0,3,3,8,2.4,22.0
10,10,10,2018-11-05,90015,0,55403,W 120-109,*,24:33,2,6,0.333,0,1,0.0,2,5,0.4,0.333,2,2,1.0,2,1,3,5,1,1,2,2,6,6.7,7.0
11,11,11,2018-11-08,90015,1,97227,L 105-116,*,35:21,7,12,0.583,2,2,1.0,5,10,0.5,0.667,3,6,0.5,1,2,3,2,0,1,1,3,19,13.4,-16.0
12,12,12,2018-11-10,90015,0,53203,W 128-126 (OT),*,39:51,5,13,0.385,2,3,0.667,3,10,0.3,0.462,4,4,1.0,1,5,6,4,1,3,2,3,16,13.8,6.0
13,13,13,2018-11-12,90015,0,94607,W 121-116 (OT),*,38:27,8,11,0.727,0,3,0.0,8,8,1.0,0.727,2,2,1.0,0,5,5,3,2,1,4,1,18,15.4,-3.0
14,14,14,2018-11-15,90015,0,78219,W 116-111,*,27:05,4,9,0.444,0,2,0.0,4,7,0.571,0.444,1,2,0.5,2,3,5,0,0,0,2,4,9,2.6,3.0
15,15,15,2018-11-17,90015,1,11217,W 127-119,*,20:01,2,9,0.222,0,1,0.0,2,8,0.25,0.222,0,0,,0,2,2,2,0,0,1,5,4,-2.5,-10.0
16,16,16,2018-11-19,90015,1,30313,W 127-119,*,29:09,5,9,0.556,0,2,0.0,5,7,0.714,0.556,6,8,0.75,2,0,2,1,1,1,3,1,16,11.3,-7.0
17,17,17,2018-11-20,90015,1,20004,L 118-125,*,28:54,6,11,0.545,1,4,0.25,5,7,0.714,0.591,4,5,0.8,1,2,3,3,3,1,2,0,17,16.4,5.0
18,18,18,2018-11-23,90015,0,38103,W 112-107 (OT),*,29:05,4,14,0.286,0,2,0.0,4,12,0.333,0.286,0,0,,1,1,2,5,1,0,1,1,8,3.9,-10.0
19,19,19,2018-11-25,90015,1,97227,W 104-100,*,29:37,4,9,0.444,0,1,0.0,4,8,0.5,0.444,4,5,0.8,0,4,4,2,1,1,2,1,12,8.8,13.0
20,20,20,2018-11-28,90015,0,85004,W 115-99,*,28:55,5,11,0.455,2,2,1.0,3,9,0.333,0.545,1,2,0.5,3,4,7,6,1,1,4,0,13,12.1,24.0
21,21,21,2018-11-29,90015,1,95814,W 133-121,*,32:28,6,9,0.667,1,1,1.0,5,8,0.625,0.722,4,5,0.8,1,4,5,4,2,2,0,3,17,19.6,20.0
22,22,22,2018-12-02,90015,1,75219,L 110-114,*,24:17,2,5,0.4,0,1,0.0,2,4,0.5,0.4,4,4,1.0,0,1,1,0,1,1,1,1,8,5.9,-13.0
23,23,23,2018-12-03,90015,1,70112,W 129-126,*,23:16,3,5,0.6,1,2,0.5,2,3,0.667,0.7,0,0,,1,1,2,2,0,0,1,0,7,6.1,-1.0
24,24,24,2018-12-05,90015,1,38103,L 86-96,*,28:40,4,9,0.444,1,1,1.0,3,8,0.375,0.5,3,4,0.75,1,3,4,4,3,1,1,1,12,13.6,10.0
25,25,25,2018-12-08,90015,0,33132,L 98-121,*,19:21,3,9,0.333,0,1,0.0,3,8,0.375,0.333,2,2,1.0,1,2,3,2,1,0,1,3,8,4.4,-8.0
26,26,26,2018-12-10,90015,1,85004,W 123-119 (OT),*,33:35,8,12,0.667,0,0,,8,12,0.667,0.667,0,0,,2,2,4,5,1,1,2,3,16,14.8,8.0
27,27,27,2018-12-11,90015,0,51300,L 99-123,*,21:55,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,1,1,2,2,1,0,2,1,7,5.0,-29.0
28,28,28,2018-12-13,90015,1,78219,L 87-125,*,28:15,6,8,0.75,1,2,0.5,5,6,0.833,0.813,0,0,,1,1,2,2,1,0,3,1,13,9.8,-13.0
29,29,29,2018-12-15,90015,1,73102,L 104-110,*,21:12,1,4,0.25,0,0,,1,4,0.25,0.25,0,2,0.0,1,1,2,2,1,1,2,0,2,0.9,-10.0
30,30,30,2018-12-17,90015,0,97227,L 127-131,*,37:49,9,15,0.6,2,7,0.286,7,8,0.875,0.667,4,5,0.8,0,2,2,3,0,0,2,3,24,16.2,-3.0
31,31,31,2018-12-20,90015,0,75219,W 125-121,*,19:12,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,1,1,1,1,0,1,3,4,1.8,-19.0
32,32,32,2018-12-22,90015,0,80204,W 132-111,*,32:34,6,10,0.6,0,0,,6,10,0.6,0.6,2,2,1.0,0,2,2,6,2,1,0,2,14,16.1,23.0
33,33,33,2018-12-23,90015,1,94607,L 127-129,*,27:41,1,3,0.333,1,1,1.0,0,2,0.0,0.5,0,0,,0,0,0,2,0,1,2,2,3,0.6,-15.0
34,34,34,2018-12-26,90015,0,95814,W 127-118,*,26:09,6,11,0.545,1,2,0.5,5,9,0.556,0.591,0,0,,1,3,4,1,0,0,0,2,13,9.2,-10.0
35,35,35,2018-12-28,90015,1,90015,W 118-107,*,17:23,2,8,0.25,1,2,0.5,1,6,0.167,0.313,2,2,1.0,0,1,1,0,1,0,1,3,7,1.3,-1.0
36,36,36,2018-12-29,90015,0,78219,L 111-122,*,20:54,2,3,0.667,1,1,1.0,1,2,0.5,0.833,0,0,,0,2,2,1,0,0,1,3,5,2.8,-4.0
37,37,37,2019-01-01,90015,0,19148,L 113-119,*,20:07,4,7,0.571,0,1,0.0,4,6,0.667,0.571,0,0,,1,1,2,5,2,0,2,5,8,7.2,-6.0
38,38,38,2019-01-04,90015,1,85004,W 121-111,*,18:31,1,6,0.167,0,2,0.0,1,4,0.25,0.167,1,2,0.5,1,2,3,9,2,0,3,2,3,4.6,6.0
39,39,39,2019-01-06,90015,0,32801,W 106-96,*,23:01,6,7,0.857,1,1,1.0,5,6,0.833,0.929,0,0,,0,2,2,2,1,0,1,2,13,11.7,1.0
40,40,40,2019-01-08,90015,0,28202,W 128-109,*,21:07,3,6,0.5,0,0,,3,6,0.5,0.5,2,2,1.0,0,3,3,2,3,4,2,2,8,10.3,-9.0
41,41,41,2019-01-10,90015,1,80204,L 100-121,*,20:26,1,4,0.25,1,2,0.5,0,2,0.0,0.375,0,0,,0,2,2,1,1,0,3,1,3,-0.5,-21.0
42,42,42,2019-01-12,90015,0,48226,L 104-109,*,16:52,3,7,0.429,0,1,0.0,3,6,0.5,0.429,1,1,1.0,0,1,1,4,1,0,2,2,7,4.6,3.0
43,43,43,2019-01-14,90015,0,70112,L 117-121,*,12:59,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,0,0,2,0,1,2,2,0,-2.8,-13.0
