Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2018-10-17,LAC,,DEN,L 98-107,,28:12,5,6,.833,0,0,,5,6,.833,.833,1,1,1.000,0,2,2,4,1,1,3,1,11,10.5,0
2,2,2,2018-10-19,LAC,,OKC,W 108-92,,23:16,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,3,3,4,0,0,2,2,2,1.5,12
3,3,3,2018-10-21,LAC,,HOU,W 115-112,,25:35,4,8,.500,0,1,.000,4,7,.571,.500,4,4,1.000,1,4,5,4,1,0,2,0,12,11.7,21
4,4,4,2018-10-23,LAC,@,NOP,L 109-116,,22:11,3,8,.375,1,1,1.000,2,7,.286,.438,2,2,1.000,2,2,4,2,1,1,3,4,9,5.1,-11
5,5,5,2018-10-26,LAC,@,HOU,W 133-113,,31:09,3,7,.429,1,1,1.000,2,6,.333,.500,3,4,.750,0,1,1,1,2,0,0,1,10,8.5,13
6,6,6,2018-10-28,LAC,,WAS,W 136-104,,28:22,4,8,.500,1,1,1.000,3,7,.429,.563,1,2,.500,2,6,8,7,2,0,1,4,10,13.1,24
7,7,7,2018-10-30,LAC,@,OKC,L 110-128,,22:40,2,4,.500,0,1,.000,2,3,.667,.500,1,1,1.000,0,0,0,3,0,1,2,0,5,3.8,-10
8,8,8,2018-11-01,LAC,@,PHI,L 113-122,,17:31,3,8,.375,0,0,,3,8,.375,.375,1,1,1.000,0,2,2,2,0,1,1,2,7,3.5,-18
9,9,9,2018-11-02,LAC,@,ORL,W 120-95,,24:47,2,6,.333,0,2,.000,2,4,.500,.333,4,4,1.000,0,1,1,1,1,0,3,3,8,2.4,22
10,10,10,2018-11-05,LAC,,MIN,W 120-109,*,24:33,2,6,.333,0,1,.000,2,5,.400,.333,2,2,1.000,2,1,3,5,1,1,2,2,6,6.7,7
11,11,11,2018-11-08,LAC,@,POR,L 105-116,*,35:21,7,12,.583,2,2,1.000,5,10,.500,.667,3,6,.500,1,2,3,2,0,1,1,3,19,13.4,-16
12,12,12,2018-11-10,LAC,,MIL,W 128-126 (OT),*,39:51,5,13,.385,2,3,.667,3,10,.300,.462,4,4,1.000,1,5,6,4,1,3,2,3,16,13.8,6
13,13,13,2018-11-12,LAC,,GSW,W 121-116 (OT),*,38:27,8,11,.727,0,3,.000,8,8,1.000,.727,2,2,1.000,0,5,5,3,2,1,4,1,18,15.4,-3
14,14,14,2018-11-15,LAC,,SAS,W 116-111,*,27:05,4,9,.444,0,2,.000,4,7,.571,.444,1,2,.500,2,3,5,0,0,0,2,4,9,2.6,3
15,15,15,2018-11-17,LAC,@,BRK,W 127-119,*,20:01,2,9,.222,0,1,.000,2,8,.250,.222,0,0,,0,2,2,2,0,0,1,5,4,-2.5,-10
16,16,16,2018-11-19,LAC,@,ATL,W 127-119,*,29:09,5,9,.556,0,2,.000,5,7,.714,.556,6,8,.750,2,0,2,1,1,1,3,1,16,11.3,-7
17,17,17,2018-11-20,LAC,@,WAS,L 118-125,*,28:54,6,11,.545,1,4,.250,5,7,.714,.591,4,5,.800,1,2,3,3,3,1,2,0,17,16.4,5
18,18,18,2018-11-23,LAC,,MEM,W 112-107 (OT),*,29:05,4,14,.286,0,2,.000,4,12,.333,.286,0,0,,1,1,2,5,1,0,1,1,8,3.9,-10
19,19,19,2018-11-25,LAC,@,POR,W 104-100,*,29:37,4,9,.444,0,1,.000,4,8,.500,.444,4,5,.800,0,4,4,2,1,1,2,1,12,8.8,13
20,20,20,2018-11-28,LAC,,PHO,W 115-99,*,28:55,5,11,.455,2,2,1.000,3,9,.333,.545,1,2,.500,3,4,7,6,1,1,4,0,13,12.1,24
