Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2012-13,22,GSW,NBA,SF,79,1,13.4,1.1,3.3,.327,0.2,0.8,.209,0.9,2.4,.368,.354,0.6,0.7,.818,0.7,2.6,3.3,0.7,0.5,0.3,0.6,2.0,2.9,
2013-14,23,GSW,NBA,SF,82,12,21.9,2.3,5.6,.407,0.7,2.0,.333,1.6,3.6,.449,.467,1.0,1.5,.667,1.0,3.9,5.0,1.9,1.2,0.9,1.1,2.8,6.2,
2014-15,24,GSW,NBA,PF,79,79,31.5,4.3,9.7,.443,1.4,4.2,.337,2.9,5.5,.523,.516,1.7,2.5,.660,1.4,6.7,8.2,3.7,1.6,1.3,1.7,3.2,11.7,DPOY-2
2015-16,25,GSW,NBA,PF,81,81,34.7,5.0,10.1,.490,1.2,3.2,.388,3.7,6.9,.537,.551,2.8,4.1,.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3.0,14.0,MVP-7DPOY-2ASNBA2
2016-17,26,GSW,NBA,PF,76,76,32.5,3.6,8.6,.418,1.1,3.5,.308,2.5,5.1,.494,.481,2.0,2.8,.709,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2,DPOY-1ASNBA3
2017-18,27,GSW,NBA,PF,70,70,32.7,4.0,8.8,.454,1.1,3.7,.301,2.9,5.2,.562,.516,1.9,2.5,.775,1.1,6.6,7.6,7.3,1.4,1.3,2.9,2.6,11.0,DPOY-6AS
2018-19,28,GSW,NBA,PF,66,66,31.3,2.8,6.4,.445,0.7,2.5,.285,2.1,3.9,.549,.501,1.0,1.4,.692,0.9,6.4,7.3,6.9,1.4,1.1,2.6,3.0,7.4,DPOY-6
2019-20,29,GSW,NBA,PF,43,43,28.4,2.9,7.3,.389,0.8,3.0,.279,2.0,4.3,.465,.446,1.5,1.9,.759,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8.0,
2020-21,30,GSW,NBA,PF,63,63,31.5,2.7,6.0,.447,0.5,2.0,.270,2.2,4.0,.535,.492,1.1,1.4,.795,0.9,6.3,7.1,8.9,1.7,0.8,3.0,3.1,7.0,DPOY-3
2021-22,31,GSW,NBA,PF,46,44,28.9,2.9,5.6,.525,0.3,1.2,.296,2.6,4.4,.586,.556,1.3,2.0,.659,1.0,6.3,7.3,7.0,1.3,1.1,3.0,3.0,7.5,DPOY-10AS
2022-23,32,GSW,NBA,PF,73,73,31.5,3.4,6.5,.527,0.5,1.8,.305,2.9,4.7,.612,.570,1.1,1.5,.713,0.9,6.3,7.2,6.8,1.0,0.8,2.8,3.1,8.5,DPOY-4
2023-24,33,GSW,NBA,PF,55,52,27.1,3.4,6.8,.497,0.9,2.3,.395,2.4,4.4,.551,.566,1.0,1.3,.730,1.4,5.9,7.2,6.0,1.0,0.9,2.5,3.0,8.6,
2024-25,34,GSW,NBA,PF,12,12,27.8,2.8,6.3,.447,1.6,3.5,.452,1.3,2.8,.441,.572,1.8,2.6,.710,0.8,4.8,5.5,5.3,1.1,1.0,1.8,3.4,9.1,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,825,672,28.6,3.2,7.1,.452,0.8,2.6,.322,2.4,4.5,.525,.510,1.4,2.0,.712,1.1,5.9,7.0,5.6,1.3,1.0,2.3,2.9,8.7,
