Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2018-19,20,LAC,NBA,PG,82,73,26.5,4.2,8.7,.476,0.6,1.7,.367,3.5,7.0,.503,.512,1.9,2.4,.800,0.7,2.1,2.8,3.3,1.2,0.5,1.7,2.1,10.8,ROY-6
2019-20,21,OKC,NBA,SG,70,70,34.7,6.8,14.5,.471,1.2,3.6,.347,5.6,10.9,.512,.514,4.1,5.1,.807,0.7,5.2,5.9,3.3,1.1,0.7,1.9,1.7,19.0,
2020-21,22,OKC,NBA,SG,35,35,33.7,8.2,16.1,.508,2.0,4.9,.418,6.2,11.3,.547,.571,5.3,6.5,.808,0.5,4.2,4.7,5.9,0.8,0.7,3.0,2.0,23.7,
2021-22,23,OKC,NBA,PG,56,56,34.7,8.5,18.8,.453,1.6,5.3,.300,6.9,13.5,.514,.496,5.9,7.2,.810,0.7,4.3,5.0,5.9,1.3,0.8,2.8,2.5,24.5,
2022-23,24,OKC,NBA,PG,68,68,35.5,10.4,20.3,.510,0.9,2.5,.345,9.5,17.8,.533,.531,9.8,10.9,.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4,MVP-5CPOY-7ASNBA1
2023-24,25,OKC,NBA,PG,75,75,34.0,10.6,19.8,.535,1.3,3.6,.353,9.3,16.2,.576,.567,7.6,8.7,.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,2.5,30.1,MVP-2DPOY-7CPOY-3ASNBA1
2024-25,26,OKC,NBA,SG,12,12,33.2,9.8,19.6,.498,1.8,5.7,.309,8.0,13.9,.575,.543,6.7,7.5,.889,0.8,4.8,5.5,6.3,1.8,1.2,2.8,1.7,27.9,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,398,389,32.9,8.0,16.2,.496,1.2,3.4,.347,6.9,12.8,.536,.533,5.7,6.7,.853,0.7,4.0,4.8,4.9,1.4,0.8,2.3,2.3,23.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKC (6 Yrs),OKC (6 Yrs),OKC (6 Yrs),OKC (6 Yrs),,316,316,34.5,9.0,18.1,.499,1.3,3.9,.344,7.7,14.3,.540,.535,6.7,7.8,.857,0.7,4.5,5.3,5.3,1.5,0.8,2.5,2.3,26.1,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,82,73,26.5,4.2,8.7,.476,0.6,1.7,.367,3.5,7.0,.503,.512,1.9,2.4,.800,0.7,2.1,2.8,3.3,1.2,0.5,1.7,2.1,10.8,
