Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,20,SAC,NBA,PG,58,20,30.1,5.0,10.7,.472,2.1,5.1,.409,2.9,5.6,.529,.569,0.8,1.0,.857,0.7,2.3,3.0,5.3,1.3,0.5,1.6,1.4,13.0,ROY-3
2021-22,21,2TM,NBA,PG,77,77,35.0,5.6,11.8,.473,2.1,5.1,.414,3.5,6.8,.517,.562,2.1,2.5,.842,0.8,3.2,4.0,8.2,1.7,0.6,2.6,1.6,15.3,
2021-22,21,SAC,NBA,SG,51,51,34.5,5.3,11.5,.457,2.0,4.9,.413,3.2,6.5,.491,.546,1.7,2.0,.837,0.8,3.1,3.9,7.4,1.7,0.7,2.3,1.4,14.3,
2021-22,21,IND,NBA,PG,26,26,36.1,6.2,12.4,.502,2.2,5.3,.416,4.0,7.2,.565,.590,2.8,3.3,.849,0.8,3.5,4.3,9.6,1.8,0.6,3.2,1.9,17.5,
2022-23,22,IND,NBA,PG,56,56,33.6,7.4,15.0,.490,2.9,7.2,.400,4.5,7.8,.572,.586,3.1,3.6,.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7,AS
2023-24,23,IND,NBA,PG,69,68,32.2,7.2,15.2,.477,2.8,7.8,.364,4.4,7.4,.595,.570,2.8,3.3,.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.1,ASNBA3
2024-25,24,IND,NBA,PG,12,12,34.7,5.7,14.2,.400,2.3,7.8,.287,3.4,6.3,.539,.479,2.6,3.3,.775,0.7,3.2,3.8,8.5,1.2,0.4,1.9,1.9,16.2,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,272,233,33.0,6.3,13.2,.474,2.4,6.3,.388,3.8,6.9,.554,.567,2.2,2.6,.852,0.6,3.1,3.7,8.7,1.5,0.6,2.3,1.4,17.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),,163,162,33.5,7.0,14.6,.479,2.7,7.2,.377,4.3,7.4,.578,.572,2.9,3.4,.854,0.6,3.3,3.9,10.4,1.4,0.6,2.5,1.3,19.6,
SAC (2 Yrs),SAC (2 Yrs),SAC (2 Yrs),SAC (2 Yrs),,109,71,32.1,5.1,11.1,.465,2.1,5.0,.411,3.1,6.0,.510,.558,1.2,1.5,.844,0.7,2.7,3.4,6.3,1.5,0.6,1.9,1.4,13.6,
